,OpenTime,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_volume,CloseTime,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-ignore
4557,2023-07-10 00:00:00,1865.26,1868.23,1856.15,1866.72,10208.8775,2023-07-10 00:59:59.999,19006368.375144,13917.0,4834.2567,9000211.951909,0.0
4558,2023-07-10 01:00:00,1866.71,1866.72,1859.75,1862.8,4035.1655,2023-07-10 01:59:59.999,7515575.225562,6762.0,1924.5011,3583816.23974,0.0
4559,2023-07-10 02:00:00,1862.81,1863.13,1846.63,1854.52,21758.899,2023-07-10 02:59:59.999,40335632.686371,24704.0,10708.3866,19849771.014497,0.0
4560,2023-07-10 03:00:00,1854.51,1859.94,1851.72,1852.87,6501.5598,2023-07-10 03:59:59.999,12060151.288627,11103.0,3277.8932,6080489.762779,0.0
4561,2023-07-10 04:00:00,1852.88,1866.11,1852.7,1865.01,6565.0951,2023-07-10 04:59:59.999,12213298.007627,11172.0,3635.8913,6763829.089217,0.0
4562,2023-07-10 05:00:00,1865.01,1867.77,1861.66,1861.66,4984.6434,2023-07-10 05:59:59.999,9295733.538886,10407.0,2448.6306,4566181.002871,0.0
4563,2023-07-10 06:00:00,1861.66,1863.0,1859.6,1860.54,3112.9148,2023-07-10 06:59:59.999,5794326.820504,8052.0,1481.8764,2758133.76392,0.0
4564,2023-07-10 07:00:00,1860.54,1861.75,1854.12,1854.17,5851.2906,2023-07-10 07:59:59.999,10877177.087265,9588.0,2492.8151,4633958.597006,0.0
4565,2023-07-10 08:00:00,1854.17,1857.23,1852.55,1855.21,6067.2554,2023-07-10 08:59:59.999,11252383.206897,10381.0,2872.1161,5326330.435823,0.0
4566,2023-07-10 09:00:00,1855.2,1858.82,1854.0,1856.19,4868.7801,2023-07-10 09:59:59.999,9038695.411848,9132.0,2103.1776,3904225.526839,0.0
4567,2023-07-10 10:00:00,1856.2,1856.47,1849.4,1855.75,6566.675,2023-07-10 10:59:59.999,12174528.211151,11796.0,2841.3493,5267949.209281,0.0
4568,2023-07-10 11:00:00,1855.76,1865.32,1853.32,1860.43,12852.835,2023-07-10 11:59:59.999,23904329.068079,15592.0,6488.3024,12065839.03282,0.0
4569,2023-07-10 12:00:00,1860.42,1865.15,1860.31,1862.73,6073.4604,2023-07-10 12:59:59.999,11310891.808773,10534.0,3254.3086,6060881.839482,0.0
4570,2023-07-10 13:00:00,1862.73,1865.0,1861.61,1864.0,5078.867,2023-07-10 13:59:59.999,9464811.105725,12866.0,2139.4618,3986664.955515,0.0
4571,2023-07-10 14:00:00,1863.99,1867.2,1860.2,1861.94,7199.5295,2023-07-10 14:59:59.999,13422412.395407,13429.0,3451.8791,6435682.140491,0.0
